age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
59,blue-collar,married,secondary,no,448,no,no,unknown,8,jun,198,1,651,7,other,no
35,technician,married,secondary,no,1,yes,yes,unknown,21,may,85,1,-1,0,unknown,no
44,admin.,married,primary,no,-92,no,yes,cellular,28,jul,526,5,-1,0,unknown,no
32,blue-collar,married,primary,no,0,yes,no,cellular,20,apr,295,3,335,1,other,no
47,technician,married,tertiary,no,213,no,no,cellular,1,jun,154,1,-1,0,unknown,no
50,unemployed,married,secondary,no,12495,yes,no,cellular,4,feb,279,2,-1,0,unknown,no
26,admin.,single,secondary,yes,0,yes,no,cellular,16,jul,157,2,-1,0,unknown,no
48,blue-collar,married,primary,no,363,yes,no,unknown,18,jun,257,6,-1,0,unknown,no
38,technician,married,secondary,no,20,no,no,cellular,2,feb,147,1,-1,0,unknown,no
43,blue-collar,married,primary,no,-476,yes,no,unknown,26,may,16,1,-1,0,unknown,no
31,admin.,single,secondary,no,33,no,yes,cellular,23,jul,194,1,-1,0,unknown,no
54,blue-collar,married,secondary,no,1291,yes,no,unknown,5,may,266,1,-1,0,unknown,no
36,technician,divorced,primary,no,-127,yes,no,cellular,5,may,320,1,-1,0,unknown,no
57,housemaid,married,secondary,no,158,yes,no,telephone,10,jul,73,1,-1,0,unknown,no
47,technician,married,secondary,no,734,yes,no,cellular,17,nov,92,3,-1,0,unknown,no
58,technician,married,secondary,no,116,no,no,unknown,16,jun,580,3,-1,0,unknown,no
45,blue-collar,married,secondary,no,577,yes,no,cellular,13,may,154,2,350,3,failure,no
35,blue-collar,married,secondary,no,80,yes,yes,cellular,6,may,317,1,363,1,failure,no
51,management,married,secondary,no,0,no,no,unknown,9,jun,224,3,-1,0,unknown,no
48,blue-collar,married,primary,no,649,no,no,unknown,19,jun,136,2,-1,0,unknown,no
46,technician,married,secondary,no,499,yes,no,cellular,31,jul,37,10,-1,0,unknown,no
29,management,married,tertiary,no,1474,yes,yes,unknown,29,may,79,3,-1,0,unknown,no
36,unknown,married,secondary,no,179,no,no,cellular,8,aug,14,8,-1,0,unknown,no
36,blue-collar,divorced,secondary,no,-523,yes,yes,cellular,11,may,193,1,333,17,other,no
34,management,married,tertiary,no,255,no,no,cellular,27,aug,78,9,-1,0,unknown,no
41,blue-collar,married,primary,no,1461,yes,no,cellular,18,nov,290,1,165,2,success,no
32,technician,married,tertiary,no,401,yes,no,cellular,24,jul,200,1,-1,0,unknown,no
47,technician,married,tertiary,no,545,yes,no,cellular,12,aug,588,3,-1,0,unknown,no
52,technician,married,secondary,no,337,yes,no,cellular,8,may,247,1,261,4,failure,no
33,technician,divorced,secondary,no,791,yes,no,cellular,24,jul,268,2,-1,0,unknown,no
41,self-employed,single,tertiary,no,428,yes,no,cellular,11,may,106,1,-1,0,unknown,no
44,management,married,tertiary,no,13853,yes,no,cellular,18,nov,1329,3,-1,0,unknown,no
47,technician,married,secondary,no,85,no,no,cellular,19,nov,51,2,-1,0,unknown,no
41,management,single,tertiary,no,1373,no,no,cellular,30,jul,81,2,-1,0,unknown,no
53,services,divorced,secondary,no,-905,yes,no,unknown,28,may,213,1,-1,0,unknown,no
46,entrepreneur,married,secondary,no,245,yes,no,cellular,8,may,78,1,359,3,failure,no
37,blue-collar,married,primary,no,704,yes,no,cellular,31,jul,183,2,-1,0,unknown,no
29,admin.,married,primary,no,624,yes,no,unknown,12,may,246,1,-1,0,unknown,no
31,blue-collar,married,primary,no,1601,no,no,cellular,21,nov,521,3,-1,0,unknown,no
43,services,married,secondary,no,823,yes,no,unknown,14,may,293,3,-1,0,unknown,no
59,retired,married,secondary,no,161,yes,no,cellular,21,jul,272,2,-1,0,unknown,no
56,unknown,married,unknown,no,778,no,no,unknown,20,jun,32,4,-1,0,unknown,no
45,entrepreneur,married,primary,no,-100,yes,no,unknown,27,may,240,6,-1,0,unknown,no
46,management,single,secondary,yes,177,no,no,cellular,18,nov,437,1,-1,0,unknown,no
39,blue-collar,married,secondary,no,0,yes,no,cellular,30,jul,61,3,-1,0,unknown,no
26,blue-collar,married,primary,no,104,yes,no,cellular,4,may,230,6,360,2,other,no
36,technician,married,secondary,no,15485,no,no,cellular,26,may,83,1,42,1,success,no
52,blue-collar,married,primary,no,1409,yes,no,unknown,19,jun,224,1,-1,0,unknown,no
47,blue-collar,married,primary,no,176,yes,no,unknown,30,may,35,1,-1,0,unknown,no
45,blue-collar,divorced,secondary,no,0,no,no,unknown,6,jun,422,5,-1,0,unknown,no
41,admin.,married,tertiary,no,96,yes,no,cellular,28,jul,269,7,-1,0,unknown,no
50,admin.,divorced,secondary,no,124,yes,yes,cellular,14,may,367,2,289,19,failure,no
44,technician,divorced,secondary,no,-329,yes,no,unknown,7,may,171,1,-1,0,unknown,no
27,student,single,tertiary,no,37,yes,no,cellular,7,may,125,1,364,1,failure,no
25,management,married,tertiary,no,103,no,no,cellular,10,feb,52,9,-1,0,unknown,no
54,admin.,single,secondary,no,15,yes,no,cellular,4,feb,93,1,-1,0,unknown,no
49,blue-collar,married,secondary,no,1039,yes,no,cellular,14,may,156,2,178,1,failure,no
34,blue-collar,single,secondary,no,62,yes,no,cellular,14,may,105,1,-1,0,unknown,no
30,management,single,tertiary,no,13,yes,no,cellular,28,jan,204,1,-1,0,unknown,no
34,unemployed,single,secondary,no,1928,yes,no,unknown,26,may,140,2,-1,0,unknown,no
59,retired,married,secondary,no,1035,yes,yes,cellular,1,apr,126,2,239,1,failure,no
27,unemployed,single,tertiary,no,77,no,no,cellular,12,jul,305,4,77,1,success,no
43,blue-collar,divorced,primary,no,-76,yes,no,cellular,14,jul,124,3,-1,0,unknown,no
59,blue-collar,divorced,primary,no,867,yes,no,cellular,24,jul,120,1,-1,0,unknown,no
34,services,married,primary,no,31,no,yes,cellular,9,jul,53,3,-1,0,unknown,no
53,services,married,secondary,no,-2,yes,yes,cellular,16,apr,144,2,-1,0,unknown,no
59,admin.,divorced,tertiary,no,39,no,no,cellular,11,jul,67,1,-1,0,unknown,no
34,admin.,divorced,secondary,no,151,yes,no,cellular,12,may,131,1,361,1,other,no
51,management,married,tertiary,no,25856,no,no,cellular,14,aug,129,2,-1,0,unknown,no
59,retired,single,secondary,no,2303,no,yes,telephone,30,jul,128,2,-1,0,unknown,no
35,admin.,single,secondary,no,663,yes,no,cellular,2,apr,359,3,-1,0,unknown,no
56,management,married,tertiary,no,171,no,yes,telephone,17,jul,610,2,-1,0,unknown,no
39,management,married,tertiary,no,198,yes,no,unknown,19,may,138,8,-1,0,unknown,no
43,technician,married,secondary,no,672,yes,no,unknown,14,may,267,8,-1,0,unknown,no
48,blue-collar,married,secondary,no,2697,yes,yes,cellular,21,nov,82,1,179,5,failure,no
30,services,single,secondary,no,122,yes,no,unknown,12,may,501,2,-1,0,unknown,no
48,services,married,primary,no,483,no,no,cellular,6,aug,119,2,-1,0,unknown,no
57,retired,married,primary,no,-171,yes,no,unknown,3,jun,397,2,-1,0,unknown,no
35,admin.,single,secondary,no,141,no,no,cellular,11,jul,146,2,-1,0,unknown,no
32,blue-collar,divorced,secondary,no,-299,yes,no,cellular,8,jul,192,2,-1,0,unknown,no
31,management,divorced,tertiary,no,-6,no,yes,cellular,22,aug,119,6,-1,0,unknown,no
31,technician,single,secondary,no,271,yes,no,cellular,5,may,269,1,-1,0,unknown,no
30,technician,single,secondary,no,363,yes,no,unknown,16,jun,136,8,-1,0,unknown,no
33,entrepreneur,married,tertiary,no,12,yes,no,cellular,12,may,137,1,-1,0,unknown,no
47,blue-collar,married,primary,no,-58,yes,no,cellular,18,jul,92,2,-1,0,unknown,no
43,admin.,married,secondary,no,1113,no,no,unknown,19,jun,477,7,-1,0,unknown,no
46,unemployed,married,secondary,no,1040,no,no,telephone,12,aug,542,1,78,5,failure,no
55,unknown,married,tertiary,no,0,no,no,unknown,5,jun,38,1,-1,0,unknown,no
29,student,single,tertiary,no,559,no,no,cellular,3,feb,143,2,-1,0,unknown,no
44,admin.,married,secondary,no,262,yes,no,cellular,9,jul,74,1,-1,0,unknown,no
34,technician,married,secondary,no,30,no,no,cellular,19,aug,193,2,-1,0,unknown,no
42,technician,single,unknown,no,344,yes,no,unknown,3,jun,26,7,-1,0,unknown,no
46,services,married,secondary,no,2019,yes,no,unknown,8,may,357,1,-1,0,unknown,no
40,self-employed,divorced,tertiary,no,1077,no,no,cellular,19,nov,309,1,-1,0,unknown,no
34,technician,single,secondary,no,1174,no,no,cellular,25,aug,136,17,-1,0,unknown,no
33,blue-collar,married,secondary,yes,-266,yes,yes,cellular,3,feb,16,7,-1,0,unknown,no
32,admin.,married,tertiary,no,1019,yes,no,cellular,20,nov,489,2,-1,0,unknown,no
57,housemaid,married,tertiary,no,3760,no,no,cellular,17,nov,1070,1,-1,0,unknown,no
43,services,married,primary,no,574,yes,no,cellular,8,may,140,1,-1,0,unknown,no
43,blue-collar,married,primary,no,778,yes,yes,unknown,15,may,284,5,-1,0,unknown,no
56,retired,married,tertiary,no,811,no,no,cellular,14,aug,148,19,-1,0,unknown,no
32,technician,divorced,tertiary,no,31,no,yes,cellular,8,jul,259,1,-1,0,unknown,no
45,services,married,secondary,no,88,yes,no,cellular,25,jul,87,4,-1,0,unknown,no
40,entrepreneur,married,tertiary,no,121,yes,no,cellular,22,jul,80,1,-1,0,unknown,no
34,management,single,secondary,no,524,no,no,unknown,13,aug,9,1,-1,0,unknown,no
36,services,single,secondary,no,5315,yes,no,cellular,3,feb,43,4,-1,0,unknown,no
29,blue-collar,single,secondary,no,-37,yes,no,unknown,4,jun,182,1,-1,0,unknown,no
39,management,married,primary,no,3760,no,yes,cellular,17,jul,262,1,-1,0,unknown,no
56,technician,married,primary,no,284,no,no,cellular,4,feb,177,1,197,9,failure,no
54,services,married,secondary,no,171,no,yes,cellular,14,jul,673,8,-1,0,unknown,no
38,admin.,married,secondary,no,1,no,no,unknown,6,may,76,1,-1,0,unknown,no
38,management,married,tertiary,no,0,yes,no,unknown,20,jun,211,2,-1,0,unknown,no
41,admin.,divorced,secondary,no,1967,yes,no,cellular,18,may,115,1,341,1,failure,no
36,management,single,tertiary,no,181,yes,no,cellular,13,may,159,2,278,4,failure,no
34,technician,single,tertiary,no,-552,yes,no,cellular,27,aug,312,12,-1,0,unknown,no
55,blue-collar,divorced,unknown,no,276,yes,no,cellular,13,may,35,1,-1,0,unknown,no
57,entrepreneur,married,secondary,yes,-525,no,yes,cellular,25,jul,337,1,-1,0,unknown,no
46,services,married,secondary,no,271,yes,no,unknown,16,may,134,4,-1,0,unknown,no
28,blue-collar,married,primary,no,-196,no,no,cellular,7,jul,209,1,-1,0,unknown,no
36,technician,divorced,secondary,no,69,yes,no,cellular,12,may,61,2,369,3,failure,no
39,blue-collar,married,primary,no,568,yes,no,unknown,21,may,173,3,-1,0,unknown,no
35,management,single,tertiary,no,612,no,no,cellular,11,nov,158,1,195,1,failure,no
35,management,married,tertiary,no,1432,yes,no,cellular,5,may,54,3,-1,0,unknown,no
53,unemployed,married,primary,no,142,no,no,cellular,30,apr,168,2,-1,0,unknown,no
22,admin.,married,secondary,no,967,yes,no,unknown,4,jun,525,1,-1,0,unknown,no
